Output of 'ps -ef':
UID          PID    PPID  C STIME TTY          TIME CMD
aro        52971   52388  0 17:40 ?        00:00:00 /usr/libexec/tracker-miner-fs
aro        53028   52388  0 17:40 ?        00:00:00 /usr/libexec/gvfsd-metadata
aro        53094   52388  0 17:40 ?        00:00:01 /usr/libexec/xdg-desktop-portal
aro        53106   52388  0 17:40 ?        00:00:00 /usr/libexec/xdg-document-portal
aro        53130   52388  0 17:40 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
gdm        53486       1  0 17:40 tty3     00:00:00 /usr/libexec/dconf-service
aro        53566   52586  0 17:41 ?        00:00:00 update-notifier
root       54403       2  0 18:10 ?        00:00:06 [kworker/2:0-events]
aro        54410   52388  3 18:10 ?        00:04:37 /opt/google/chrome/chrome
aro        54416   54410  0 18:10 ?        00:00:00 cat
aro        54417   54410  0 18:10 ?        00:00:00 cat
aro        54419   52388  0 18:10 ?        00:00:00 /opt/google/chrome/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/aro/.config/google-chrome/Crash Reports --metrics-dir=/home/aro/.config/google-chrome --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 20.04.6 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=132.0.6834.83 --initial-client-fd=5 --shared-client-connection
aro        54421   52388  0 18:10 ?        00:00:00 /opt/google/chrome/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/aro/.config/google-chrome/Crash Reports --url=https://clients2.google.com/cr/report --annotation=channel= --annotation=lsb-release=Ubuntu 20.04.6 LTS --annotation=plat=Linux --annotation=prod=Chrome_Linux --annotation=ver=132.0.6834.83 --initial-client-fd=4 --shared-client-connection
aro        54427   54410  0 18:10 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --no-zygote-sandbox --string-annotations --crashpad-handler-pid=54419 --enable-crash-reporter=89ceb528-e999-43d9-b218-5cfa937b4cef, --change-stack-guard-on-fork=enable
aro        54428   54410  0 18:10 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --string-annotations --crashpad-handler-pid=54419 --enable-crash-reporter=89ceb528-e999-43d9-b218-5cfa937b4cef, --change-stack-guard-on-fork=enable
aro        54430   54428  0 18:10 ?        00:00:00 /opt/google/chrome/chrome --type=zygote --string-annotations --crashpad-handler-pid=54419 --enable-crash-reporter=89ceb528-e999-43d9-b218-5cfa937b4cef, --change-stack-guard-on-fork=enable
aro        54456   54427  0 18:10 ?        00:00:58 /opt/google/chrome/chrome --type=gpu-process --string-annotations --crashpad-handler-pid=54419 --enable-crash-reporter=89ceb528-e999-43d9-b218-5cfa937b4cef, --change-stack-guard-on-fork=enable --gpu-preferences=UAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAAABAAAAAAAAAAEAAAAAAAAAAIAAAAAAAAAAgAAAAAAAAA --shared-files --field-trial-handle=3,i,16931988719781840217,615795490990827490,262144 --variations-seed-version=20250121-180208.859000
